chr,start,end,x,y,z
chr21,20855000,20860000,-0.103434207,-0.029196847,-0.01714512
chr21,20860000,20865000,-0.100753351,-0.028739772,-0.023652533
chr21,20865000,20870000,-0.099676272,-0.029905476,-0.027380126
chr21,20870000,20875000,-0.097150114,-0.03015526,-0.030970342
chr21,20875000,20880000,-0.096680172,-0.028807566,-0.033856795
chr21,20880000,20885000,-0.094478423,-0.030825531,-0.034140922
chr21,20885000,20890000,-0.09557228,-0.031744286,-0.030995194
chr21,20890000,20895000,-0.09633838,-0.030991424,-0.027970472
chr21,20895000,20900000,-0.097218464,-0.032902353,-0.025841315
chr21,20900000,20905000,-0.099977253,-0.031774405,-0.033434114
chr21,20905000,20910000,-0.09888912,-0.038921446,-0.034762105
chr21,20910000,20915000,-0.098144788,-0.040580046,-0.034559671
chr21,20915000,20920000,-0.095234052,-0.041090537,-0.030657862
chr21,20920000,20925000,-0.098236592,-0.034353558,-0.033501541
chr21,20925000,20930000,-0.098403625,-0.033526663,-0.039988861
chr21,20930000,20935000,-0.098141863,-0.036048014,-0.043529615
chr21,20935000,20940000,-0.094905951,-0.043192565,-0.040587705
chr21,20940000,20945000,-0.097367072,-0.049051138,-0.041120578
chr21,20945000,20950000,-0.097990916,-0.050500191,-0.042060364
chr21,20950000,20955000,-0.102557723,-0.049855703,-0.049338197
chr21,20955000,20960000,-0.103325969,-0.044262241,-0.051844547
chr21,20960000,20965000,-0.107302927,-0.041540203,-0.05529886
chr21,20965000,20970000,-0.106416018,-0.037539676,-0.055929847
chr21,20970000,20975000,-0.105407285,-0.033538406,-0.054968424
chr21,20975000,20980000,-0.104113048,-0.029641299,-0.051902548
chr21,20980000,20985000,-0.1018573,-0.029724153,-0.049603609
chr21,20985000,20990000,-0.101385403,-0.037478813,-0.04941123
chr21,20990000,20995000,-0.09387402,-0.05031032,-0.05587367
chr21,20995000,2.10E+07,-0.085751774,-0.059420955,-0.058192657
chr21,2.10E+07,21005000,-0.075792556,-0.065704058,-0.063622136
chr21,21005000,21010000,-0.074273856,-0.071487632,-0.061852859
chr21,21010000,21015000,-0.076248339,-0.075536163,-0.059143653
chr21,21015000,21020000,-0.076626906,-0.078096408,-0.055646412
chr21,21020000,21025000,-0.074496565,-0.071188141,-0.056147586
chr21,21025000,21030000,-0.069905872,-0.067850852,-0.061244589
chr21,21030000,21035000,-0.069401678,-0.059078541,-0.064904633
chr21,21035000,21040000,-0.070235916,-0.056489896,-0.068289328
chr21,21040000,21045000,-0.072289286,-0.05138509,-0.070097678
chr21,21045000,21050000,-0.073173229,-0.050340383,-0.072853143
chr21,21050000,21055000,-0.072360152,-0.051133072,-0.072970892
chr21,21055000,21060000,-0.075566793,-0.04908573,-0.075910125
chr21,21060000,21065000,-0.077764497,-0.049016703,-0.078565775
chr21,21065000,21070000,-0.081030304,-0.044759377,-0.077640855
chr21,21070000,21075000,-0.079067297,-0.04919435,-0.076600076
chr21,21075000,21080000,-0.079691512,-0.047601452,-0.073543143
chr21,21080000,21085000,-0.078683763,-0.054425099,-0.076875001
chr21,21085000,21090000,-0.079594631,-0.052026279,-0.077137136
chr21,21090000,21095000,-0.081674791,-0.05503913,-0.080641365
chr21,21095000,21100000,-0.081808224,-0.04954486,-0.077217494
chr21,21100000,21105000,-0.084458829,-0.047541604,-0.076881216
chr21,21105000,21110000,-0.087778606,-0.049128549,-0.075599162
chr21,21110000,21115000,-0.09190519,-0.057122176,-0.078023612
chr21,21115000,21120000,-0.095230443,-0.060665827,-0.080609828
chr21,21120000,21125000,-0.092661669,-0.064256791,-0.081981808
chr21,21125000,21130000,-0.092218095,-0.058112796,-0.081326974
chr21,21130000,21135000,-0.092303298,-0.058773926,-0.082014386
chr21,21135000,21140000,-0.093142766,-0.057461267,-0.081580397
chr21,21140000,21145000,-0.095854758,-0.062209197,-0.086327118
chr21,21145000,21150000,-0.098696319,-0.064555072,-0.087490478
chr21,21150000,21155000,-0.100320919,-0.061356467,-0.08609168
chr21,21155000,21160000,-0.103473115,-0.061957527,-0.084500363
chr21,21160000,21165000,-0.100975512,-0.06231179,-0.083888544
chr21,21165000,21170000,-0.101664771,-0.069071832,-0.085981933
chr21,21170000,21175000,-0.096636232,-0.064901821,-0.08435434
chr21,21175000,21180000,-0.093650063,-0.068756489,-0.078341588
chr21,21180000,21185000,-0.092175327,-0.063724069,-0.077567174
chr21,21185000,21190000,-0.097047264,-0.070410933,-0.078290305
chr21,21190000,21195000,-0.103808222,-0.069929267,-0.083579923
chr21,21195000,21200000,-0.110448802,-0.075067853,-0.084197357
chr21,21200000,21205000,-0.107935467,-0.074937119,-0.083932202
chr21,21205000,21210000,-0.105330679,-0.069632396,-0.081979135
chr21,21210000,21215000,-0.106295031,-0.069241523,-0.079477512
chr21,21215000,21220000,-0.108072291,-0.069711106,-0.079165602
chr21,21220000,21225000,-0.111911984,-0.073002737,-0.079571872
chr21,21225000,21230000,-0.110875615,-0.076594415,-0.079381238
chr21,21230000,21235000,-0.108827567,-0.07837187,-0.075943388
chr21,21235000,21240000,-0.108786555,-0.085270547,-0.073304606
chr21,21240000,21245000,-0.102684848,-0.087177335,-0.068208441
chr21,21245000,21250000,-0.105546526,-0.090034101,-0.069397209
chr21,21250000,21255000,-0.106281031,-0.091706014,-0.066656632
chr21,21255000,21260000,-0.116441062,-0.088356552,-0.06956871
chr21,21260000,21265000,-0.122360765,-0.087584437,-0.064589174
chr21,21265000,21270000,-0.120859541,-0.08670001,-0.061920842
chr21,21270000,21275000,-0.119433617,-0.090600051,-0.060338109
chr21,21275000,21280000,-0.119697705,-0.090022473,-0.062140776
chr21,21280000,21285000,-0.125375079,-0.090083173,-0.062273142
chr21,21285000,21290000,-0.128134575,-0.087663984,-0.060352218
chr21,21290000,21295000,-0.129347036,-0.087486498,-0.060080649
chr21,21295000,21300000,-0.123437566,-0.083673265,-0.061211712
chr21,21300000,21305000,-0.122992277,-0.082943716,-0.061942185
chr21,21305000,21310000,-0.122640032,-0.082715796,-0.060684723
chr21,21310000,21315000,-0.125459479,-0.086023098,-0.057146414
chr21,21315000,21320000,-0.123934605,-0.089240596,-0.05352623
chr21,21320000,21325000,-0.117671144,-0.091362013,-0.049372926
chr21,21325000,21330000,-0.119941085,-0.091321934,-0.050314471
chr21,21330000,21335000,-0.120133416,-0.089267653,-0.052609327
chr21,21335000,21340000,-0.123155661,-0.089965765,-0.052309743
chr21,21340000,21345000,-0.124073221,-0.088085644,-0.048731579
chr21,21345000,21350000,-0.126557146,-0.086624476,-0.046939615
chr21,21350000,21355000,-0.131711293,-0.084042218,-0.047129616
chr21,21355000,21360000,-0.135130455,-0.081874572,-0.048148977
chr21,21360000,21365000,-0.137093143,-0.0780694,-0.045943517
chr21,21365000,21370000,-0.139575645,-0.073363247,-0.045489347
chr21,21370000,21375000,-0.140494603,-0.072240299,-0.047354994
chr21,21375000,21380000,-0.140993388,-0.070457984,-0.047839623
chr21,21380000,21385000,-0.138550658,-0.072083786,-0.047457968
chr21,21385000,21390000,-0.137521074,-0.071713482,-0.044811308
chr21,21390000,21395000,-0.13633098,-0.070670456,-0.046671189
chr21,21395000,21400000,-0.13606027,-0.069763966,-0.049622865
chr21,21400000,21405000,-0.137296156,-0.068555548,-0.053106491
chr21,21405000,21410000,-0.137446323,-0.068104577,-0.052696258
chr21,21410000,21415000,-0.139477174,-0.063865401,-0.054648917
chr21,21415000,21420000,-0.137830337,-0.058467557,-0.057487559
chr21,21420000,21425000,-0.138223519,-0.060236835,-0.058620561
chr21,21425000,21430000,-0.137097382,-0.057362342,-0.058600673
chr21,21430000,21435000,-0.131390242,-0.059248344,-0.06078194
chr21,21435000,21440000,-0.129211769,-0.055945941,-0.063607321
chr21,21440000,21445000,-0.128318664,-0.060771716,-0.062550441
chr21,21445000,21450000,-0.133682398,-0.058559052,-0.059138144
chr21,21450000,21455000,-0.12981121,-0.054291202,-0.057686678
chr21,21455000,21460000,-0.127897813,-0.048856069,-0.060598116
chr21,21460000,21465000,-0.124688267,-0.044644837,-0.060415019
chr21,21465000,21470000,-0.127607144,-0.044824761,-0.060839041
chr21,21470000,21475000,-0.128403359,-0.040736057,-0.057742387
chr21,21475000,21480000,-0.131043028,-0.041856791,-0.056209559
chr21,21480000,21485000,-0.128476241,-0.041893588,-0.057819305
chr21,21485000,21490000,-0.124642431,-0.040331245,-0.057074011
chr21,21490000,21495000,-0.120118019,-0.037909974,-0.056954747
chr21,21495000,21500000,-0.114249827,-0.037543262,-0.055894058
chr21,21500000,21505000,-0.117063518,-0.042141783,-0.053390163
chr21,21505000,21510000,-0.116646443,-0.042413422,-0.052663763
chr21,21510000,21515000,-0.118755384,-0.040693445,-0.05164697
chr21,21515000,21520000,-0.113593203,-0.034905696,-0.05281195
chr21,21520000,21525000,-0.108362672,-0.034607411,-0.056698712
chr21,21525000,21530000,-0.109552107,-0.03335762,-0.052062703
chr21,21530000,21535000,-0.106608207,-0.033499028,-0.052460656
chr21,21535000,21540000,-0.111055622,-0.032954151,-0.04726897
chr21,21540000,21545000,-0.109602621,-0.033087646,-0.043582943
chr21,21545000,21550000,-0.109958713,-0.032778212,-0.042795213
chr21,21550000,21555000,-0.107902124,-0.031982607,-0.039821343
chr21,21555000,21560000,-0.103138932,-0.03574706,-0.045544251
chr21,21560000,21565000,-0.099820239,-0.037780249,-0.045395069
chr21,21565000,21570000,-0.095401318,-0.037505729,-0.048477536
chr21,21570000,21575000,-0.099392116,-0.033516692,-0.043906686
chr21,21575000,21580000,-0.100704279,-0.031212258,-0.042610946
chr21,21580000,21585000,-0.105034117,-0.031467574,-0.037558076
chr21,21585000,21590000,-0.099865491,-0.031882331,-0.03871992
chr21,21590000,21595000,-0.101498717,-0.032230737,-0.034218589
chr21,21595000,21600000,-0.095703058,-0.031407295,-0.038404495
chr21,21600000,21605000,-0.097506311,-0.030108912,-0.035395816
chr21,21605000,21610000,-0.09488815,-0.031637032,-0.034711838
chr21,21610000,21615000,-0.100301332,-0.033959184,-0.027805066
chr21,21615000,21620000,-0.105553212,-0.038106482,-0.023353646
chr21,21620000,21625000,-0.111190563,-0.040516268,-0.018683781
chr21,21625000,21630000,-0.108687724,-0.042712198,-0.016564785
chr21,21630000,21635000,-0.101980978,-0.04125372,-0.02219862
chr21,21635000,21640000,-0.096886426,-0.039030375,-0.026933225
chr21,21640000,21645000,-0.09616259,-0.037105988,-0.029248354
chr21,21645000,21650000,-0.096669055,-0.034714773,-0.027693625
chr21,21650000,21655000,-0.093597849,-0.03620732,-0.031569967
chr21,21655000,21660000,-0.092527785,-0.037706258,-0.030577746
chr21,21660000,21665000,-0.09111609,-0.039829271,-0.029453062
chr21,21665000,21670000,-0.095786295,-0.041022849,-0.021790962
chr21,21670000,21675000,-0.096004658,-0.038853066,-0.022265408
chr21,21675000,21680000,-0.096527648,-0.038035617,-0.022825117
chr21,21680000,21685000,-0.095245883,-0.036752378,-0.023860216
chr21,21685000,21690000,-0.094682352,-0.037050136,-0.023546529
chr21,21690000,21695000,-0.095168149,-0.037686438,-0.021334698
chr21,21695000,21700000,-0.096804775,-0.040821961,-0.019236175
chr21,21700000,21705000,-0.096836345,-0.042442714,-0.018132252
chr21,21705000,21710000,-0.096611829,-0.049022294,-0.015950779
chr21,21710000,21715000,-0.095369211,-0.04719485,-0.016673096
chr21,21715000,21720000,-0.09831442,-0.053416159,-0.014402669
chr21,21720000,21725000,-0.104517184,-0.051718628,-0.013292936
chr21,21725000,21730000,-0.105589682,-0.055925531,-0.011910061
chr21,21730000,21735000,-0.104312026,-0.05172629,-0.012940467
chr21,21735000,21740000,-0.103966147,-0.055904149,-0.013114727
chr21,21740000,21745000,-0.10387389,-0.057677034,-0.013267222
chr21,21745000,21750000,-0.108975,-0.064685852,-0.013316565
chr21,21750000,21755000,-0.108401583,-0.064109151,-0.013373229
chr21,21755000,21760000,-0.112560015,-0.065475425,-0.013660406
chr21,21760000,21765000,-0.109785525,-0.064986196,-0.013158337
chr21,21765000,21770000,-0.108551738,-0.06965067,-0.013962228
chr21,21770000,21775000,-0.107001184,-0.073783345,-0.013746489
chr21,21775000,21780000,-0.106747896,-0.079110402,-0.014580597
chr21,21780000,21785000,-0.106848259,-0.076649569,-0.012901271
chr21,21785000,21790000,-0.101987003,-0.075600181,-0.013059867
chr21,21790000,21795000,-0.103066603,-0.07411502,-0.012471584
chr21,21795000,21800000,-0.099009116,-0.076217518,-0.013167495
chr21,21800000,21805000,-0.102835626,-0.078438349,-0.014171624
chr21,21805000,21810000,-0.097724246,-0.077816527,-0.014169844
chr21,21810000,21815000,-0.098804115,-0.081625414,-0.017120658
chr21,21815000,21820000,-0.094968413,-0.079620434,-0.015964011
chr21,21820000,21825000,-0.093791721,-0.083798653,-0.018747056
chr21,21825000,21830000,-0.088816547,-0.081726221,-0.020891465
chr21,21830000,21835000,-0.089210232,-0.087603119,-0.026153334
chr21,21835000,21840000,-0.085138238,-0.084792808,-0.02821512
chr21,21840000,21845000,-0.083034137,-0.082645852,-0.030184044
chr21,21845000,21850000,-0.079671567,-0.081010081,-0.030564079
chr21,21850000,21855000,-0.079756933,-0.08369664,-0.032060879
chr21,21855000,21860000,-0.079710389,-0.084448591,-0.030296385
chr21,21860000,21865000,-0.077562884,-0.084012744,-0.030844386
chr21,21865000,21870000,-0.074948624,-0.083000175,-0.032371873
chr21,21870000,21875000,-0.078444447,-0.088918783,-0.03422457
chr21,21875000,21880000,-0.076366864,-0.089449928,-0.037175446
chr21,21880000,21885000,-0.079181731,-0.092848113,-0.04141728
chr21,21885000,21890000,-0.073860101,-0.088188951,-0.045570041
chr21,21890000,21895000,-0.074655829,-0.089020892,-0.048527875
chr21,21895000,21900000,-0.071685337,-0.084651531,-0.043346655
chr21,21900000,21905000,-0.075519603,-0.090025953,-0.040206346
chr21,21905000,21910000,-0.075291778,-0.08994598,-0.037501118
chr21,21910000,21915000,-0.079233239,-0.093996227,-0.03827938
chr21,21915000,21920000,-0.077190303,-0.089493433,-0.036086991
chr21,21920000,21925000,-0.078250085,-0.08963251,-0.036219403
chr21,21925000,21930000,-0.079279948,-0.090072719,-0.036478025
chr21,21930000,21935000,-0.079575428,-0.094131311,-0.040160331
chr21,21935000,21940000,-0.07840299,-0.090056484,-0.043880428
chr21,21940000,21945000,-0.072478559,-0.085177402,-0.048257329
chr21,21945000,21950000,-0.077252612,-0.076545611,-0.052911303
chr21,21950000,21955000,-0.077090288,-0.073647014,-0.054151794
chr21,21955000,21960000,-0.080654501,-0.076142265,-0.052748405
chr21,21960000,21965000,-0.076324574,-0.082045903,-0.049953275
chr21,21965000,21970000,-0.077946745,-0.089493368,-0.050805272
chr21,21970000,21975000,-0.075287035,-0.089320134,-0.049695468
chr21,21975000,21980000,-0.071540981,-0.086632841,-0.050713876
chr21,21980000,21985000,-0.068756089,-0.082485153,-0.050214278
chr21,21985000,21990000,-0.069692416,-0.083945905,-0.049520582
chr21,21990000,21995000,-0.072651697,-0.094105807,-0.044626217
chr21,21995000,2.20E+07,-0.077611982,-0.102855113,-0.037182421
chr21,2.20E+07,22005000,-0.078781739,-0.111875593,-0.034007851
chr21,22005000,22010000,-0.081942741,-0.114780316,-0.030961788
chr21,22010000,22015000,-0.082228777,-0.116679977,-0.026107565
chr21,22015000,22020000,-0.086507291,-0.110482141,-0.020109521
chr21,22020000,22025000,-0.084017302,-0.10120435,-0.014569285
chr21,22025000,22030000,-0.080294164,-0.100132279,-0.011627755
chr21,22030000,22035000,-0.078916296,-0.098277638,-0.011421409
chr21,22035000,22040000,-0.079027478,-0.10235464,-0.009702453
chr21,22040000,22045000,-0.083118465,-0.09431744,-0.009371205
chr21,22045000,22050000,-0.082390889,-0.096354461,-0.007931274
chr21,22050000,22055000,-0.08608029,-0.092580046,-0.007967364
chr21,22055000,22060000,-0.08349254,-0.099324359,-0.00932579
chr21,22060000,22065000,-0.084615582,-0.09933817,-0.009254039
chr21,22065000,22070000,-0.082266663,-0.104228139,-0.010043549
chr21,22070000,22075000,-0.083399749,-0.100537231,-0.007021225
chr21,22075000,22080000,-0.081873079,-0.096245551,-0.005612033
chr21,22080000,22085000,-0.080735486,-0.090637202,-0.004989255
chr21,22085000,22090000,-0.078837615,-0.094154897,-0.008904989
chr21,22090000,22095000,-0.076434608,-0.098721579,-0.009499947
chr21,22095000,22100000,-0.072756352,-0.103433551,-0.010463465
chr21,22100000,22105000,-0.074088087,-0.102678394,-0.009856096
chr21,22105000,22110000,-0.074047812,-0.1022662,-0.010250716
chr21,22110000,22115000,-0.075010827,-0.104184708,-0.01140229
